Timestamp;Source IP;Destination IP;Protocol;Source Port;Destination Port;Attack Type;Packet Size
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:57;34.117.223.223;192.168.1.25;TCP;443;63070;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.111.24.1;192.168.1.25;TCP;443;61352;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.117.223.223;192.168.1.25;TCP;443;63071;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.111.24.1;192.168.1.25;TCP;443;61352;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.111.24.1;192.168.1.25;TCP;443;61352;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.111.24.1;192.168.1.25;TCP;443;61352;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.111.24.1;192.168.1.25;TCP;443;61352;TCP-SYNACK PACKET;66
2024-10-16 16:53:58;34.111.24.1;192.168.1.25;TCP;443;61352;TCP-SYNACK PACKET;66
